A pata suelta,ranchera,T0370909253,Rafael Rossi,Francisco Brancatti
A pedido,tango,T0370265772,Juan José Paz,-
A pesar de todo,tango,T0370111797,"Teófilo Lespés, Zenon Mario Lespés",Carlos Pesce
A pesar de todo,canción,Z0999916324,Eladia Blázquez,
A pesar de todo,,Z0999990034,,
A pili pum,,T0371060819,Luis César Amadori,
A pique,,T0373613489,,
A primera vista,tango,Z0999990035,,-
A puño limpio,milonga,Z0000523975,Pintín Castellanos,Pintín Castellanos
A punta y taco,,Z0999990036,,-
A quai,fox trot,T0042243946,Yann Tiersen,-
A qué has venido?,tango,T0370075094,Juan Espumer,Emilio Magaldi
A qué mentir ni jurar,,T0370001629,Alberto Gambino,Ivo Pelay
"A que sí, a que no",,T0370106696,Juan Caldarella,Enrique Cadícamo
A qué va usted,,T0370260175,"Carlos Bahr, Filinto Rebechi, Aguariguay",
A quién le puede importar,tango,T0370073134,Mariano Mores,Enrique Cadícamo
A Raúl Berón,tango,Z0001286813,Roberto Siri,Marta Pizzo
A remolque,tango,Z0999916669,"Delmiro Pereyra, Antonio Polito","Delmiro Pereyra, Antonio Polito"
A rienda suelta,tango,Z0999914233,,
A río revuelto,tango,T0373544796,Marcelo San Juan,Alejandro Szwarcman
A Roberto Arlt,tango,T0374013270,Eduardo Rovira,-
A Roberto Firpo,tango,T0464113185,"Miguel Villasboas, Orlando Romanelli",-
A Roberto Peppe,tango,T0370378509,Esteban Enrique Gilardi,-
A Rosalía,milonga,T9007940694,Juan Cedrón,Luis Alposta
A Rosita Melo,vals homenaje,Z0999990037,,
A Salta quiero cantar,,T0370683387,Osvaldo Larrea,
A Salvador Allende,tango,Z0001189170,,-
A San Pedro Tlaquepaque,,Z0000084459,"Francisco Canaro, Mariano Mores",
A San Telmo,tango,T0370428048,"Roberto Grela, Héctor Ayala",-
A Santiago volveré,,T0372320110,"Mario Valdez, Osvaldo Tarantino","Mario Valdez, Osvaldo Tarantino"
A seguirla bandoneón,tango,Z0999912599,"Victor D'Amario, Alfredo Dalton",Jorge Moreira
A Shoa Daine,tango,Z0999990038,,
A si te alejas te voy,,T0371864162,,Oscar Vázquez
A Singapur,,T0370108045,Alfredo Bigeschi,Virgilio San Clemente
A solas,tango,Z0999901141,,
A su majestad,tango,T0370297190,,
A su memoria,vals,T0370032748,Antonio Sureda,Homero Manzi
A su pedido,tango,T0370574518,Alberto Vernieri,
A sueño limpio,tango,T0371306181,Ismael Spitalnik,Héctor Negro
A suerte y verdad,tango,T0370209054,Carlos M. Parodi,Carlos Waiss
A tango traviesa,tango,Z0999918818,Roberto Siri,
A ti,,Z0999990039,,Julio Sosa
A ti,muliza peruana,Z0999990040,,
A ti Chile,cueca,T0370002735,R. Arancibia Rodríguez,
A tisket a tasket,fox trot,Z0000500185,,
A toda vela,tango,T0373372054,Francisco Lomuto,Oscar Lomuto
A todo trapo,tango,T0370279472,Graciano Gómez,-
A todos les cobra treinta,milonga,Z0999913649,Antonio Nevoso,Norberto Accoroni
A través de los años,tango,T0370002097,Pedro Maffia,Homero Manzi
A través del tango,,T0371482971,Armando Pontier,Oscar del Priore
A tres bandas,tango,T0370297203,Bautista Bonacossa,
A tu lado,tango,T0464111678,Roberto Cuenca,Roberto Cuenca
A tu lado,vals,Z0999919050,Eduardo Rovira,
A tu lado María,vals,T0370227216,Antonio Pescara,Antonio Pescara
A tu memoria,,T0370156663,Carlos Gardel,-
A tu memoria madrecita,vals,T0370002122,Alberto Cosentino,Alberto Cosentino
A tu recuerdo,tango,T0370325113,Guillermo Vilar,Pedro Blasco
A tu ventana,tango,Z0999911211,,Guillermo Barbieri
"A tus pies, bailarín",tango,T0370366214,Armando Pontier,-
A un artista del pueblo,tango,T0371747680,Arturo Penón,
A un charlatán,,T0371781666,Paco Berón,Oscar Vázquez
A un gato,,Z0002339439,Jorge Luis Borges,Jorge Luis Borges
A un gran amor,tango,T0370790741,Wenceslao Domingo Cinosi,Carlos Antonio Russo
A un pájaro libre y a otro encerrado,,T0371103477,,
A un paso nada más,,T0371156283,"Abel Aznar, Alfredo Gago, José Canet","Abel Aznar, Alfredo Gago, José Canet"
A un semejante,tango,T0371315579,Eladia Blázquez,Eladia Blázquez
A un vate rante,tango,Z0999919087,Tito Ferrari,
A una mujer,vals,T0370095525,Horacio Salgán,Carmelo Volpe
A una rosa,,Z0999990041,,
A unos celos,vals,Z0999990042,,
A unos ojos,vals,T0370204991,Carlos Montbrun Ocampo,Gabriel Héctor Hernán Videla
A Usted ... Señorita,tango,T0370835225,,Félix Rosario Arena
A veces,,T0421648272,Miguel Di Genova,
A veces yo te quiero Buenos Aires,,T0371605547,Saúl Cosentino,
A ver entonces,balada,T0373327286,Saúl Cosentino,Ernesto Pierro
A ver si te animás,candombe,T0042209482,Juan Carlos Cáceres,Juan Carlos Cáceres
A Villoldo,tango,T0370317251,Armando Lacava,-
A vos Poeta,tango,Z0999918992,,
A vos que fuiste,,Z0999990043,Alberto Celenza,
A vos te arrancaron verde,tango,T0370103415,Carmelo Taverna,Francisco Antonio Lio
A vos yo te piropeo,tango,T0425792933,Wilson Saliwonczyk,Ricardo Bruno
A voz do morro,arreglo en tango,T0391947651,Zé Keti,
A Zárate,tango,T0370043892,Armando Pontier,-
"Abajo las mujeres, abajo",,Z0000048522,,Arturo Rodríguez Bustamante
Abandonada,tango,T0370059805,Francisco Canaro,Manuel Romero
Abandonada,vals,Z0999917173,,-
Abandonada,tango,Z0999918067,,
Abandoneado,tango,Z0002459863,Luis Caruana,-
Abandono,,T0370032817,Juan Martí,Alfredo Bigeschi
Abandono,tango,T0370059827,Pedro Maffia,Homero Manzi
Abanicos de gallina,,T0371060808,Luis César Amadori,
Abba ba habaita,tango,Z0999990044,,-
ABC,tango,Z0999918859,Vicente Mazzoco,
Abc del amor,milonga,T0370474751,Jorge Dragone,Jorge Dragone
Abismo,,Z0999990045,Alfredo Núñez de Borbón,Alfredo Núñez de Borbón
Abone Z luego proteste,tango,Z0999990046,Carlos Libedinsky,Carlos Libedinsky
Abran cancha,tango,T0370094895,José María Mendizábal,
Abran cancha,milonga,T0370352898,"Héctor Varela, Alberto Nery",-
Abran cancha,,T0373640619,Américo Mauro,Enrique Cadícamo
Abran cancha,milonga,T0373661176,Rodolfo Mederos,
Abran cancha,milonga,Z0999912481,Alberto Mastra,
Abran cancha,tango milonga,Z0999917200,Juan F. Noli,-
Abransen las pulperías,tango,T0370197673,"Alfredo Attadía, Ángel D'Agostino",Héctor Marcó
Abrazame,,T0370474784,Leo Lipesker,Reinaldo Yiso
Abrazo fraternal,tango,T0370787680,Arturo Penón,Juan Victor Demarco
Abrede,tango,Z0999990047,,
Abrí los ojos,,T0372787159,Martina Iñiguez,Martina Iñiguez
Abril,tango,T0374437123,Osvaldo Tubino,-
Abril,,T9033449886,"Max Masri, Diego Sebastian Velazquez",
Abril,tango,Z0999915105,Manuel Pizarro,-
Abril en mi ciudad,tango,T0371603530,Emilio Balcarce,Eladia Blázquez
Abrojalera,tango,Z0000024266,Benigno Ochoa,
Abrojo,tango,Z0999900090,Miguel Caló,Luis Rubistein
Abrojos,tango,T0370094908,Alfonso Lacueva,Armando Tagini
Abrojos,,T0370094919,Anselmo A. Aieta,Francisco García Jiménez
Abschied,tango,T8008505587,Peter Ludwig,-
Absurdo,vals,T0370401823,Virgilio Expósito,Homero Expósito
Abuela,tango,T0370460288,Hipólito Caron,Ricardo Otero
Abuelita,tango,T0370105251,Santiago Paris,Gabriel Sigal
Abuelita,tango,Z0999900490,Juan Canaro,
Abuelita,recitado,Z0999990048,,Héctor Gagliardi
Abuelito,tango,T0370105262,Alberto Laporte,"Eduardo Salvador Trongé, Carlos Ponciano Cabral"
Abuelo gringo,,T0371445894,Carlos Lucero,Carlos Lucero
Aburrido,tango,T0370105284,Francisco Bautista Rímoli,Julio Alberto Cantuarias
Acá esta mi gente,tango,T0372235409,Carlos Ponciano Cabral,Héctor Negro
Acabala,tango,Z0999914462,Francisco Caso,
Acabala un poco,tango,Z0999917332,Carlos Lagos,Carlos Lagos
Acacias,tango,T0370059849,Alberto Gambino,Enrique Miguel Gaudino
Academia,,T0373163848,Enrique Cadícamo,-
Académica,milonga,Z0999917841,,
Acariciando recuerdos,vals,T0370174438,Agustín Irusta,César Felipe Vedani
Acaso,tango,Z0999917814,,
Acclamations,vals,Z0999900939,Émile Waldteufel,
Acentuado,tango,Z0999909431,Astor Piazzolla,-
Acepte la invitación,,T0371922110,Jorge Dragone,Carlos Lucero
Acercate,,T0370378190,Javier Mazzea,Carlos Lucero
Acercate hija mía,,T0371238684,"Adolfo Manuel Berón, Vicente Demarco","Adolfo Manuel Berón, Vicente Demarco"
Acércate más,,Z0999990049,Osvaldo Farrés,Osvaldo Farrés
Ach zostań...,tango,T9059090583,Jerzy Petersburski,Andrzej Włast
